human_time_ai_min,correctness_score,risk_score,review_effort_min,sector,run_id,task_text,annotator_id,hallucination_flag,notes,difficulty_label,completeness_score,risk_class,task_id,quality_score,task_source,policy_id,human_time_base_min
6,4,6,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 73字符,,3,,ceval-016,4,,pl_deepseek_flash,5
6,4,6,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 62字符,,4,,ceval-016,4,,pl_deepseek_pro,5
6,6,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 169字符,,4,,ceval-017,6,,pl_deepseek_flash,5
7,7,6,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 304字符,,8,,ceval-017,7,,pl_deepseek_pro,5
6,6,6,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 152字符,,3,,ceval-018,6,,pl_deepseek_flash,5
7,7,6,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 261字符,,8,,ceval-018,7,,pl_deepseek_pro,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 109字符,,4,,ceval-019,5,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 147字符,,4,,ceval-019,5,,pl_deepseek_pro,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 102字符,,3,,ceval-020,5,,pl_deepseek_flash,5
7,8,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 216字符,,8,,ceval-020,7,,pl_deepseek_pro,5
6,2,6,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 27字符,,2,,ceval-021,2,,pl_deepseek_flash,5
6,1,3,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 1字符,,1,,ceval-021,1,,pl_deepseek_pro,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 124字符,,4,,ceval-022,5,,pl_deepseek_flash,5
7,8,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 224字符,,8,,ceval-022,7,,pl_deepseek_pro,5
6,6,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 156字符,,4,,ceval-023,6,,pl_deepseek_flash,5
6,6,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 199字符,,4,,ceval-023,6,,pl_deepseek_pro,5
7,8,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 328字符,,8,,ceval-024,7,,pl_deepseek_flash,5
7,8,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 361字符,,8,,ceval-024,7,,pl_deepseek_pro,5
7,8,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 241字符,,7,,ceval-025,7,,pl_deepseek_flash,5
7,7,6,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 272字符,,8,,ceval-025,7,,pl_deepseek_pro,5
6,5,5,3,,ds_batch,,assistant_demo_v1,1,AI自动标注 - 响应长度: 124字符,,4,,ceval-026,5,,pl_deepseek_flash,5
7,8,5,3,,ds_batch,,assistant_demo_v1,1,AI自动标注 - 响应长度: 392字符,,10,,ceval-026,7,,pl_deepseek_pro,5
6,2,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 29字符,,2,,ceval-027,2,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 141字符,,6,,ceval-027,5,,pl_deepseek_pro,5
6,1,3,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 7字符,,1,,ceval-028,1,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 99字符,,4,,ceval-028,4,,pl_deepseek_pro,5
6,6,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 151字符,,4,,ceval-029,6,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 143字符,,4,,ceval-029,5,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 56字符,,3,,ceval-030,4,,pl_deepseek_flash,5
6,6,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 195字符,,4,,ceval-030,6,,pl_deepseek_pro,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 121字符,,4,,ceval-031,5,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 109字符,,4,,ceval-031,5,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 44字符,,4,,ceval-032,4,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 72字符,,4,,ceval-033,4,,pl_deepseek_flash,5
6,3,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 33字符,,3,,ceval-033,3,,pl_deepseek_pro,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 148字符,,4,,ceval-034,5,,pl_deepseek_flash,5
6,6,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 173字符,,3,,ceval-034,6,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 44字符,,4,,ceval-035,4,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 106字符,,3,,ceval-035,5,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 78字符,,3,,ceval-036,4,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 75字符,,4,,ceval-036,4,,pl_deepseek_pro,5
6,1,3,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 13字符,,1,,ceval-037,1,,pl_deepseek_flash,5
7,8,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 283字符,,8,,ceval-037,7,,pl_deepseek_pro,5
6,3,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 38字符,,3,,ceval-038,3,,pl_deepseek_flash,5
7,8,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 207字符,,8,,ceval-038,7,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 87字符,,3,,ceval-039,4,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 122字符,,3,,ceval-039,5,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 48字符,,4,,ceval-040,4,,pl_deepseek_flash,5
6,6,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 179字符,,5,,ceval-040,6,,pl_deepseek_pro,5
6,1,3,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 4字符,,1,,ceval-041,1,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 68字符,,4,,ceval-041,4,,pl_deepseek_pro,5
6,3,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 34字符,,3,,ceval-042,3,,pl_deepseek_flash,5
6,3,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 31字符,,3,,ceval-042,3,,pl_deepseek_pro,5
6,1,3,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 6字符,,1,,ceval-043,1,,pl_deepseek_flash,5
6,1,3,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 6字符,,1,,ceval-043,1,,pl_deepseek_pro,5
6,1,3,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 11字符,,1,,ceval-044,1,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 73字符,,3,,ceval-044,4,,pl_deepseek_pro,5
6,3,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 37字符,,3,,ceval-045,3,,pl_deepseek_flash,5
6,6,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 179字符,,5,,ceval-045,6,,pl_deepseek_pro,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 135字符,,4,,cmmlu-001,5,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 140字符,,4,,cmmlu-001,5,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 49字符,,4,,cmmlu-002,4,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 124字符,,4,,cmmlu-002,5,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 58字符,,3,,cmmlu-003,4,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 130字符,,4,,cmmlu-003,5,,pl_deepseek_pro,5
6,2,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 22字符,,2,,cmmlu-004,2,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 47字符,,4,,cmmlu-004,4,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 49字符,,4,,cmmlu-005,4,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 121字符,,3,,cmmlu-005,5,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 46字符,,4,,cmmlu-006,4,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 54字符,,4,,cmmlu-006,4,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 90字符,,3,,cmmlu-007,4,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 47字符,,4,,cmmlu-008,4,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 107字符,,3,,cmmlu-008,5,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 51字符,,3,,cmmlu-009,4,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 137字符,,5,,cmmlu-009,5,,pl_deepseek_pro,5
6,2,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 22字符,,2,,cmmlu-010,2,,pl_deepseek_flash,5
6,1,3,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 4字符,,1,,cmmlu-010,1,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 47字符,,4,,cmmlu-011,4,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 64字符,,4,,cmmlu-011,4,,pl_deepseek_pro,5
6,3,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 38字符,,3,,cmmlu-012,3,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 78字符,,4,,cmmlu-012,4,,pl_deepseek_pro,5
6,2,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 25字符,,2,,cmmlu-013,2,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 70字符,,3,,cmmlu-013,4,,pl_deepseek_pro,5
6,3,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 32字符,,3,,cmmlu-014,3,,pl_deepseek_flash,5
6,2,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 22字符,,2,,cmmlu-014,2,,pl_deepseek_pro,5
6,3,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 37字符,,3,,cmmlu-015,3,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 66字符,,4,,cmmlu-015,4,,pl_deepseek_pro,5
6,1,3,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 3字符,,1,,cmmlu-016,1,,pl_deepseek_flash,5
6,6,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 160字符,,4,,cmmlu-016,6,,pl_deepseek_pro,5
6,5,5,3,,ds_batch,,assistant_demo_v1,1,AI自动标注 - 响应长度: 119字符,,3,,cmmlu-017,5,,pl_deepseek_flash,5
6,6,5,3,,ds_batch,,assistant_demo_v1,1,AI自动标注 - 响应长度: 197字符,,5,,cmmlu-017,6,,pl_deepseek_pro,5
6,3,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 34字符,,3,,cmmlu-018,3,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 48字符,,4,,cmmlu-018,4,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 93字符,,4,,cmmlu-019,4,,pl_deepseek_flash,5
6,2,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 24字符,,2,,cmmlu-020,2,,pl_deepseek_flash,5
6,3,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 32字符,,3,,cmmlu-020,3,,pl_deepseek_pro,5
6,3,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 36字符,,3,,cmmlu-021,3,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 95字符,,4,,cmmlu-021,4,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 46字符,,4,,cmmlu-022,4,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 67字符,,3,,cmmlu-022,4,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 91字符,,3,,cmmlu-023,4,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 92字符,,3,,cmmlu-023,4,,pl_deepseek_pro,5
6,2,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 24字符,,2,,cmmlu-024,2,,pl_deepseek_flash,5
6,6,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 152字符,,7,,cmmlu-024,6,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 81字符,,4,,cmmlu-025,4,,pl_deepseek_pro,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 114字符,,4,,cmmlu-026,5,,pl_deepseek_flash,5
7,8,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 267字符,,9,,cmmlu-026,7,,pl_deepseek_pro,5
6,6,6,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 151字符,,4,,cmmlu-027,6,,pl_deepseek_flash,5
6,5,6,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 143字符,,4,,cmmlu-027,5,,pl_deepseek_pro,5
6,3,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 30字符,,3,,cmmlu-028,3,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 69字符,,4,,cmmlu-028,4,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 83字符,,3,,cmmlu-029,4,,pl_deepseek_flash,5
7,8,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 287字符,,8,,cmmlu-029,7,,pl_deepseek_pro,5
6,1,3,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 11字符,,1,,cmmlu-030,1,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 103字符,,5,,cmmlu-030,5,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 68字符,,3,,cmmlu-031,4,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 76字符,,5,,cmmlu-031,4,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 44字符,,4,,cmmlu-032,4,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 141字符,,3,,cmmlu-032,5,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 49字符,,4,,cmmlu-033,4,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 66字符,,4,,cmmlu-033,4,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 61字符,,3,,cmmlu-034,4,,pl_deepseek_flash,5
7,8,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 243字符,,9,,cmmlu-034,7,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 79字符,,3,,cmmlu-035,4,,pl_deepseek_flash,5
6,5,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 144字符,,3,,cmmlu-035,5,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 87字符,,3,,cmmlu-036,4,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 77字符,,4,,cmmlu-036,4,,pl_deepseek_pro,5
7,8,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 204字符,,9,,cmmlu-037,7,,pl_deepseek_flash,5
6,3,4,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 32字符,,3,,cmmlu-038,3,,pl_deepseek_flash,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 72字符,,4,,cmmlu-038,4,,pl_deepseek_pro,5
6,4,5,3,,ds_batch,,assistant_demo_v1,0,AI自动标注 - 响应长度: 43字符,,4,,cmmlu-039,4,,pl_deepseek_flash,5
