human_time_ai_min,human_time_base_min,run_id,sector,risk_score,notes,correctness_score,task_source,completeness_score,task_text,policy_id,review_effort_min,hallucination_flag,annotator_id,risk_class,quality_score,task_id,difficulty_label
6,5,ds_batch,,5,AI自动标注 - 响应长度: 51字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,ceval-014,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 63字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,ceval-014,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 36字符,3,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,3,ceval-015,
7,5,ds_batch,,5,AI自动标注 - 响应长度: 298字符,8,,9,,pl_deepseek_pro,3,0,assistant_demo_v1,,7,ceval-015,
6,5,ds_batch,,6,AI自动标注 - 响应长度: 73字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,ceval-016,
6,5,ds_batch,,6,AI自动标注 - 响应长度: 62字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,ceval-016,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 169字符,6,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,6,ceval-017,
7,5,ds_batch,,6,AI自动标注 - 响应长度: 304字符,7,,8,,pl_deepseek_pro,3,0,assistant_demo_v1,,7,ceval-017,
6,5,ds_batch,,6,AI自动标注 - 响应长度: 152字符,6,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,6,ceval-018,
7,5,ds_batch,,6,AI自动标注 - 响应长度: 261字符,7,,8,,pl_deepseek_pro,3,0,assistant_demo_v1,,7,ceval-018,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 109字符,5,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,5,ceval-019,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 147字符,5,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,ceval-019,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 102字符,5,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,5,ceval-020,
7,5,ds_batch,,5,AI自动标注 - 响应长度: 216字符,8,,8,,pl_deepseek_pro,3,0,assistant_demo_v1,,7,ceval-020,
6,5,ds_batch,,6,AI自动标注 - 响应长度: 27字符,2,,2,,pl_deepseek_flash,3,0,assistant_demo_v1,,2,ceval-021,
6,5,ds_batch,,3,AI自动标注 - 响应长度: 1字符,1,,1,,pl_deepseek_pro,3,0,assistant_demo_v1,,1,ceval-021,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 124字符,5,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,5,ceval-022,
7,5,ds_batch,,5,AI自动标注 - 响应长度: 224字符,8,,8,,pl_deepseek_pro,3,0,assistant_demo_v1,,7,ceval-022,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 156字符,6,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,6,ceval-023,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 199字符,6,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,6,ceval-023,
7,5,ds_batch,,5,AI自动标注 - 响应长度: 328字符,8,,8,,pl_deepseek_flash,3,0,assistant_demo_v1,,7,ceval-024,
7,5,ds_batch,,5,AI自动标注 - 响应长度: 361字符,8,,8,,pl_deepseek_pro,3,0,assistant_demo_v1,,7,ceval-024,
7,5,ds_batch,,5,AI自动标注 - 响应长度: 241字符,8,,7,,pl_deepseek_flash,3,0,assistant_demo_v1,,7,ceval-025,
7,5,ds_batch,,6,AI自动标注 - 响应长度: 272字符,7,,8,,pl_deepseek_pro,3,0,assistant_demo_v1,,7,ceval-025,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 124字符,5,,4,,pl_deepseek_flash,3,1,assistant_demo_v1,,5,ceval-026,
7,5,ds_batch,,5,AI自动标注 - 响应长度: 392字符,8,,10,,pl_deepseek_pro,3,1,assistant_demo_v1,,7,ceval-026,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 29字符,2,,2,,pl_deepseek_flash,3,0,assistant_demo_v1,,2,ceval-027,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 141字符,5,,6,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,ceval-027,
6,5,ds_batch,,3,AI自动标注 - 响应长度: 7字符,1,,1,,pl_deepseek_flash,3,0,assistant_demo_v1,,1,ceval-028,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 99字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,ceval-028,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 151字符,6,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,6,ceval-029,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 143字符,5,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,ceval-029,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 56字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,ceval-030,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 195字符,6,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,6,ceval-030,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 121字符,5,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,5,ceval-031,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 109字符,5,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,ceval-031,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 44字符,4,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,ceval-032,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 72字符,4,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,ceval-033,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 33字符,3,,3,,pl_deepseek_pro,3,0,assistant_demo_v1,,3,ceval-033,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 148字符,5,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,5,ceval-034,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 173字符,6,,3,,pl_deepseek_pro,3,0,assistant_demo_v1,,6,ceval-034,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 44字符,4,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,ceval-035,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 106字符,5,,3,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,ceval-035,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 78字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,ceval-036,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 75字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,ceval-036,
6,5,ds_batch,,3,AI自动标注 - 响应长度: 13字符,1,,1,,pl_deepseek_flash,3,0,assistant_demo_v1,,1,ceval-037,
7,5,ds_batch,,5,AI自动标注 - 响应长度: 283字符,8,,8,,pl_deepseek_pro,3,0,assistant_demo_v1,,7,ceval-037,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 38字符,3,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,3,ceval-038,
7,5,ds_batch,,5,AI自动标注 - 响应长度: 207字符,8,,8,,pl_deepseek_pro,3,0,assistant_demo_v1,,7,ceval-038,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 87字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,ceval-039,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 122字符,5,,3,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,ceval-039,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 48字符,4,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,ceval-040,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 179字符,6,,5,,pl_deepseek_pro,3,0,assistant_demo_v1,,6,ceval-040,
6,5,ds_batch,,3,AI自动标注 - 响应长度: 4字符,1,,1,,pl_deepseek_flash,3,0,assistant_demo_v1,,1,ceval-041,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 68字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,ceval-041,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 34字符,3,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,3,ceval-042,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 31字符,3,,3,,pl_deepseek_pro,3,0,assistant_demo_v1,,3,ceval-042,
6,5,ds_batch,,3,AI自动标注 - 响应长度: 6字符,1,,1,,pl_deepseek_flash,3,0,assistant_demo_v1,,1,ceval-043,
6,5,ds_batch,,3,AI自动标注 - 响应长度: 6字符,1,,1,,pl_deepseek_pro,3,0,assistant_demo_v1,,1,ceval-043,
6,5,ds_batch,,3,AI自动标注 - 响应长度: 11字符,1,,1,,pl_deepseek_flash,3,0,assistant_demo_v1,,1,ceval-044,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 73字符,4,,3,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,ceval-044,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 37字符,3,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,3,ceval-045,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 179字符,6,,5,,pl_deepseek_pro,3,0,assistant_demo_v1,,6,ceval-045,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 135字符,5,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,5,cmmlu-001,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 140字符,5,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,cmmlu-001,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 49字符,4,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-002,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 124字符,5,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,cmmlu-002,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 58字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-003,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 130字符,5,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,cmmlu-003,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 22字符,2,,2,,pl_deepseek_flash,3,0,assistant_demo_v1,,2,cmmlu-004,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 47字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,cmmlu-004,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 49字符,4,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-005,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 121字符,5,,3,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,cmmlu-005,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 46字符,4,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-006,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 54字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,cmmlu-006,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 90字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-007,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 47字符,4,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-008,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 107字符,5,,3,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,cmmlu-008,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 51字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-009,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 137字符,5,,5,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,cmmlu-009,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 22字符,2,,2,,pl_deepseek_flash,3,0,assistant_demo_v1,,2,cmmlu-010,
6,5,ds_batch,,3,AI自动标注 - 响应长度: 4字符,1,,1,,pl_deepseek_pro,3,0,assistant_demo_v1,,1,cmmlu-010,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 47字符,4,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-011,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 64字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,cmmlu-011,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 38字符,3,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,3,cmmlu-012,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 78字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,cmmlu-012,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 25字符,2,,2,,pl_deepseek_flash,3,0,assistant_demo_v1,,2,cmmlu-013,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 70字符,4,,3,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,cmmlu-013,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 32字符,3,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,3,cmmlu-014,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 22字符,2,,2,,pl_deepseek_pro,3,0,assistant_demo_v1,,2,cmmlu-014,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 37字符,3,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,3,cmmlu-015,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 66字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,cmmlu-015,
6,5,ds_batch,,3,AI自动标注 - 响应长度: 3字符,1,,1,,pl_deepseek_flash,3,0,assistant_demo_v1,,1,cmmlu-016,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 160字符,6,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,6,cmmlu-016,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 119字符,5,,3,,pl_deepseek_flash,3,1,assistant_demo_v1,,5,cmmlu-017,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 197字符,6,,5,,pl_deepseek_pro,3,1,assistant_demo_v1,,6,cmmlu-017,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 34字符,3,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,3,cmmlu-018,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 48字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,cmmlu-018,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 93字符,4,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-019,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 24字符,2,,2,,pl_deepseek_flash,3,0,assistant_demo_v1,,2,cmmlu-020,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 32字符,3,,3,,pl_deepseek_pro,3,0,assistant_demo_v1,,3,cmmlu-020,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 36字符,3,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,3,cmmlu-021,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 95字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,cmmlu-021,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 46字符,4,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-022,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 67字符,4,,3,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,cmmlu-022,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 91字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-023,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 92字符,4,,3,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,cmmlu-023,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 24字符,2,,2,,pl_deepseek_flash,3,0,assistant_demo_v1,,2,cmmlu-024,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 152字符,6,,7,,pl_deepseek_pro,3,0,assistant_demo_v1,,6,cmmlu-024,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 81字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,cmmlu-025,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 114字符,5,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,5,cmmlu-026,
7,5,ds_batch,,5,AI自动标注 - 响应长度: 267字符,8,,9,,pl_deepseek_pro,3,0,assistant_demo_v1,,7,cmmlu-026,
6,5,ds_batch,,6,AI自动标注 - 响应长度: 151字符,6,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,6,cmmlu-027,
6,5,ds_batch,,6,AI自动标注 - 响应长度: 143字符,5,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,cmmlu-027,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 30字符,3,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,3,cmmlu-028,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 69字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,cmmlu-028,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 83字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-029,
7,5,ds_batch,,5,AI自动标注 - 响应长度: 287字符,8,,8,,pl_deepseek_pro,3,0,assistant_demo_v1,,7,cmmlu-029,
6,5,ds_batch,,3,AI自动标注 - 响应长度: 11字符,1,,1,,pl_deepseek_flash,3,0,assistant_demo_v1,,1,cmmlu-030,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 103字符,5,,5,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,cmmlu-030,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 68字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-031,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 76字符,4,,5,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,cmmlu-031,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 44字符,4,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-032,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 141字符,5,,3,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,cmmlu-032,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 49字符,4,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-033,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 66字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,cmmlu-033,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 61字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-034,
7,5,ds_batch,,5,AI自动标注 - 响应长度: 243字符,8,,9,,pl_deepseek_pro,3,0,assistant_demo_v1,,7,cmmlu-034,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 79字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-035,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 144字符,5,,3,,pl_deepseek_pro,3,0,assistant_demo_v1,,5,cmmlu-035,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 87字符,4,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-036,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 77字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,cmmlu-036,
7,5,ds_batch,,5,AI自动标注 - 响应长度: 204字符,8,,9,,pl_deepseek_flash,3,0,assistant_demo_v1,,7,cmmlu-037,
6,5,ds_batch,,4,AI自动标注 - 响应长度: 32字符,3,,3,,pl_deepseek_flash,3,0,assistant_demo_v1,,3,cmmlu-038,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 72字符,4,,4,,pl_deepseek_pro,3,0,assistant_demo_v1,,4,cmmlu-038,
6,5,ds_batch,,5,AI自动标注 - 响应长度: 43字符,4,,4,,pl_deepseek_flash,3,0,assistant_demo_v1,,4,cmmlu-039,
