risk_score,correctness_score,human_time_ai_min,task_source,human_time_base_min,difficulty_label,policy_id,task_id,completeness_score,notes,task_text,quality_score,run_id,sector,risk_class,review_effort_min,hallucination_flag,annotator_id
6,4,6,,5,,pl_deepseek_pro,ceval-016,4,AI自动标注 - 响应长度: 62字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,6,6,,5,,pl_deepseek_flash,ceval-017,4,AI自动标注 - 响应长度: 169字符,,6,ds_batch,,,3,0,assistant_demo_v1
6,7,7,,5,,pl_deepseek_pro,ceval-017,8,AI自动标注 - 响应长度: 304字符,,7,ds_batch,,,3,0,assistant_demo_v1
6,6,6,,5,,pl_deepseek_flash,ceval-018,3,AI自动标注 - 响应长度: 152字符,,6,ds_batch,,,3,0,assistant_demo_v1
6,7,7,,5,,pl_deepseek_pro,ceval-018,8,AI自动标注 - 响应长度: 261字符,,7,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_flash,ceval-019,4,AI自动标注 - 响应长度: 109字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,ceval-019,4,AI自动标注 - 响应长度: 147字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_flash,ceval-020,3,AI自动标注 - 响应长度: 102字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,8,7,,5,,pl_deepseek_pro,ceval-020,8,AI自动标注 - 响应长度: 216字符,,7,ds_batch,,,3,0,assistant_demo_v1
6,2,6,,5,,pl_deepseek_flash,ceval-021,2,AI自动标注 - 响应长度: 27字符,,2,ds_batch,,,3,0,assistant_demo_v1
3,1,6,,5,,pl_deepseek_pro,ceval-021,1,AI自动标注 - 响应长度: 1字符,,1,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_flash,ceval-022,4,AI自动标注 - 响应长度: 124字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,8,7,,5,,pl_deepseek_pro,ceval-022,8,AI自动标注 - 响应长度: 224字符,,7,ds_batch,,,3,0,assistant_demo_v1
5,6,6,,5,,pl_deepseek_flash,ceval-023,4,AI自动标注 - 响应长度: 156字符,,6,ds_batch,,,3,0,assistant_demo_v1
5,6,6,,5,,pl_deepseek_pro,ceval-023,4,AI自动标注 - 响应长度: 199字符,,6,ds_batch,,,3,0,assistant_demo_v1
5,8,7,,5,,pl_deepseek_flash,ceval-024,8,AI自动标注 - 响应长度: 328字符,,7,ds_batch,,,3,0,assistant_demo_v1
5,8,7,,5,,pl_deepseek_pro,ceval-024,8,AI自动标注 - 响应长度: 361字符,,7,ds_batch,,,3,0,assistant_demo_v1
5,8,7,,5,,pl_deepseek_flash,ceval-025,7,AI自动标注 - 响应长度: 241字符,,7,ds_batch,,,3,0,assistant_demo_v1
6,7,7,,5,,pl_deepseek_pro,ceval-025,8,AI自动标注 - 响应长度: 272字符,,7,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_flash,ceval-026,4,AI自动标注 - 响应长度: 124字符,,5,ds_batch,,,3,1,assistant_demo_v1
5,8,7,,5,,pl_deepseek_pro,ceval-026,10,AI自动标注 - 响应长度: 392字符,,7,ds_batch,,,3,1,assistant_demo_v1
4,2,6,,5,,pl_deepseek_flash,ceval-027,2,AI自动标注 - 响应长度: 29字符,,2,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,ceval-027,6,AI自动标注 - 响应长度: 141字符,,5,ds_batch,,,3,0,assistant_demo_v1
3,1,6,,5,,pl_deepseek_flash,ceval-028,1,AI自动标注 - 响应长度: 7字符,,1,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,ceval-028,4,AI自动标注 - 响应长度: 99字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,6,6,,5,,pl_deepseek_flash,ceval-029,4,AI自动标注 - 响应长度: 151字符,,6,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,ceval-029,4,AI自动标注 - 响应长度: 143字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,ceval-030,3,AI自动标注 - 响应长度: 56字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,6,6,,5,,pl_deepseek_pro,ceval-030,4,AI自动标注 - 响应长度: 195字符,,6,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_flash,ceval-031,4,AI自动标注 - 响应长度: 121字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,ceval-031,4,AI自动标注 - 响应长度: 109字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,ceval-032,4,AI自动标注 - 响应长度: 44字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,ceval-033,4,AI自动标注 - 响应长度: 72字符,,4,ds_batch,,,3,0,assistant_demo_v1
4,3,6,,5,,pl_deepseek_pro,ceval-033,3,AI自动标注 - 响应长度: 33字符,,3,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_flash,ceval-034,4,AI自动标注 - 响应长度: 148字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,6,6,,5,,pl_deepseek_pro,ceval-034,3,AI自动标注 - 响应长度: 173字符,,6,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,ceval-035,4,AI自动标注 - 响应长度: 44字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,ceval-035,3,AI自动标注 - 响应长度: 106字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,ceval-036,3,AI自动标注 - 响应长度: 78字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,ceval-036,4,AI自动标注 - 响应长度: 75字符,,4,ds_batch,,,3,0,assistant_demo_v1
3,1,6,,5,,pl_deepseek_flash,ceval-037,1,AI自动标注 - 响应长度: 13字符,,1,ds_batch,,,3,0,assistant_demo_v1
5,8,7,,5,,pl_deepseek_pro,ceval-037,8,AI自动标注 - 响应长度: 283字符,,7,ds_batch,,,3,0,assistant_demo_v1
4,3,6,,5,,pl_deepseek_flash,ceval-038,3,AI自动标注 - 响应长度: 38字符,,3,ds_batch,,,3,0,assistant_demo_v1
5,8,7,,5,,pl_deepseek_pro,ceval-038,8,AI自动标注 - 响应长度: 207字符,,7,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,ceval-039,3,AI自动标注 - 响应长度: 87字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,ceval-039,3,AI自动标注 - 响应长度: 122字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,ceval-040,4,AI自动标注 - 响应长度: 48字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,6,6,,5,,pl_deepseek_pro,ceval-040,5,AI自动标注 - 响应长度: 179字符,,6,ds_batch,,,3,0,assistant_demo_v1
3,1,6,,5,,pl_deepseek_flash,ceval-041,1,AI自动标注 - 响应长度: 4字符,,1,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,ceval-041,4,AI自动标注 - 响应长度: 68字符,,4,ds_batch,,,3,0,assistant_demo_v1
4,3,6,,5,,pl_deepseek_flash,ceval-042,3,AI自动标注 - 响应长度: 34字符,,3,ds_batch,,,3,0,assistant_demo_v1
4,3,6,,5,,pl_deepseek_pro,ceval-042,3,AI自动标注 - 响应长度: 31字符,,3,ds_batch,,,3,0,assistant_demo_v1
3,1,6,,5,,pl_deepseek_flash,ceval-043,1,AI自动标注 - 响应长度: 6字符,,1,ds_batch,,,3,0,assistant_demo_v1
3,1,6,,5,,pl_deepseek_pro,ceval-043,1,AI自动标注 - 响应长度: 6字符,,1,ds_batch,,,3,0,assistant_demo_v1
3,1,6,,5,,pl_deepseek_flash,ceval-044,1,AI自动标注 - 响应长度: 11字符,,1,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,ceval-044,3,AI自动标注 - 响应长度: 73字符,,4,ds_batch,,,3,0,assistant_demo_v1
4,3,6,,5,,pl_deepseek_flash,ceval-045,3,AI自动标注 - 响应长度: 37字符,,3,ds_batch,,,3,0,assistant_demo_v1
5,6,6,,5,,pl_deepseek_pro,ceval-045,5,AI自动标注 - 响应长度: 179字符,,6,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_flash,cmmlu-001,4,AI自动标注 - 响应长度: 135字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,cmmlu-001,4,AI自动标注 - 响应长度: 140字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-002,4,AI自动标注 - 响应长度: 49字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,cmmlu-002,4,AI自动标注 - 响应长度: 124字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-003,3,AI自动标注 - 响应长度: 58字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,cmmlu-003,4,AI自动标注 - 响应长度: 130字符,,5,ds_batch,,,3,0,assistant_demo_v1
4,2,6,,5,,pl_deepseek_flash,cmmlu-004,2,AI自动标注 - 响应长度: 22字符,,2,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,cmmlu-004,4,AI自动标注 - 响应长度: 47字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-005,4,AI自动标注 - 响应长度: 49字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,cmmlu-005,3,AI自动标注 - 响应长度: 121字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-006,4,AI自动标注 - 响应长度: 46字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,cmmlu-006,4,AI自动标注 - 响应长度: 54字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-007,3,AI自动标注 - 响应长度: 90字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-008,4,AI自动标注 - 响应长度: 47字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,cmmlu-008,3,AI自动标注 - 响应长度: 107字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-009,3,AI自动标注 - 响应长度: 51字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,cmmlu-009,5,AI自动标注 - 响应长度: 137字符,,5,ds_batch,,,3,0,assistant_demo_v1
4,2,6,,5,,pl_deepseek_flash,cmmlu-010,2,AI自动标注 - 响应长度: 22字符,,2,ds_batch,,,3,0,assistant_demo_v1
3,1,6,,5,,pl_deepseek_pro,cmmlu-010,1,AI自动标注 - 响应长度: 4字符,,1,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-011,4,AI自动标注 - 响应长度: 47字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,cmmlu-011,4,AI自动标注 - 响应长度: 64字符,,4,ds_batch,,,3,0,assistant_demo_v1
4,3,6,,5,,pl_deepseek_flash,cmmlu-012,3,AI自动标注 - 响应长度: 38字符,,3,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,cmmlu-012,4,AI自动标注 - 响应长度: 78字符,,4,ds_batch,,,3,0,assistant_demo_v1
4,2,6,,5,,pl_deepseek_flash,cmmlu-013,2,AI自动标注 - 响应长度: 25字符,,2,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,cmmlu-013,3,AI自动标注 - 响应长度: 70字符,,4,ds_batch,,,3,0,assistant_demo_v1
4,3,6,,5,,pl_deepseek_flash,cmmlu-014,3,AI自动标注 - 响应长度: 32字符,,3,ds_batch,,,3,0,assistant_demo_v1
4,2,6,,5,,pl_deepseek_pro,cmmlu-014,2,AI自动标注 - 响应长度: 22字符,,2,ds_batch,,,3,0,assistant_demo_v1
4,3,6,,5,,pl_deepseek_flash,cmmlu-015,3,AI自动标注 - 响应长度: 37字符,,3,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,cmmlu-015,4,AI自动标注 - 响应长度: 66字符,,4,ds_batch,,,3,0,assistant_demo_v1
3,1,6,,5,,pl_deepseek_flash,cmmlu-016,1,AI自动标注 - 响应长度: 3字符,,1,ds_batch,,,3,0,assistant_demo_v1
5,6,6,,5,,pl_deepseek_pro,cmmlu-016,4,AI自动标注 - 响应长度: 160字符,,6,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_flash,cmmlu-017,3,AI自动标注 - 响应长度: 119字符,,5,ds_batch,,,3,1,assistant_demo_v1
5,6,6,,5,,pl_deepseek_pro,cmmlu-017,5,AI自动标注 - 响应长度: 197字符,,6,ds_batch,,,3,1,assistant_demo_v1
4,3,6,,5,,pl_deepseek_flash,cmmlu-018,3,AI自动标注 - 响应长度: 34字符,,3,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,cmmlu-018,4,AI自动标注 - 响应长度: 48字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-019,4,AI自动标注 - 响应长度: 93字符,,4,ds_batch,,,3,0,assistant_demo_v1
4,2,6,,5,,pl_deepseek_flash,cmmlu-020,2,AI自动标注 - 响应长度: 24字符,,2,ds_batch,,,3,0,assistant_demo_v1
4,3,6,,5,,pl_deepseek_pro,cmmlu-020,3,AI自动标注 - 响应长度: 32字符,,3,ds_batch,,,3,0,assistant_demo_v1
4,3,6,,5,,pl_deepseek_flash,cmmlu-021,3,AI自动标注 - 响应长度: 36字符,,3,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,cmmlu-021,4,AI自动标注 - 响应长度: 95字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-022,4,AI自动标注 - 响应长度: 46字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,cmmlu-022,3,AI自动标注 - 响应长度: 67字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-023,3,AI自动标注 - 响应长度: 91字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,cmmlu-023,3,AI自动标注 - 响应长度: 92字符,,4,ds_batch,,,3,0,assistant_demo_v1
4,2,6,,5,,pl_deepseek_flash,cmmlu-024,2,AI自动标注 - 响应长度: 24字符,,2,ds_batch,,,3,0,assistant_demo_v1
5,6,6,,5,,pl_deepseek_pro,cmmlu-024,7,AI自动标注 - 响应长度: 152字符,,6,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,cmmlu-025,4,AI自动标注 - 响应长度: 81字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_flash,cmmlu-026,4,AI自动标注 - 响应长度: 114字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,8,7,,5,,pl_deepseek_pro,cmmlu-026,9,AI自动标注 - 响应长度: 267字符,,7,ds_batch,,,3,0,assistant_demo_v1
6,6,6,,5,,pl_deepseek_flash,cmmlu-027,4,AI自动标注 - 响应长度: 151字符,,6,ds_batch,,,3,0,assistant_demo_v1
6,5,6,,5,,pl_deepseek_pro,cmmlu-027,4,AI自动标注 - 响应长度: 143字符,,5,ds_batch,,,3,0,assistant_demo_v1
4,3,6,,5,,pl_deepseek_flash,cmmlu-028,3,AI自动标注 - 响应长度: 30字符,,3,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,cmmlu-028,4,AI自动标注 - 响应长度: 69字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-029,3,AI自动标注 - 响应长度: 83字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,8,7,,5,,pl_deepseek_pro,cmmlu-029,8,AI自动标注 - 响应长度: 287字符,,7,ds_batch,,,3,0,assistant_demo_v1
3,1,6,,5,,pl_deepseek_flash,cmmlu-030,1,AI自动标注 - 响应长度: 11字符,,1,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,cmmlu-030,5,AI自动标注 - 响应长度: 103字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-031,3,AI自动标注 - 响应长度: 68字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,cmmlu-031,5,AI自动标注 - 响应长度: 76字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-032,4,AI自动标注 - 响应长度: 44字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,cmmlu-032,3,AI自动标注 - 响应长度: 141字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-033,4,AI自动标注 - 响应长度: 49字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,cmmlu-033,4,AI自动标注 - 响应长度: 66字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-034,3,AI自动标注 - 响应长度: 61字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,8,7,,5,,pl_deepseek_pro,cmmlu-034,9,AI自动标注 - 响应长度: 243字符,,7,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-035,3,AI自动标注 - 响应长度: 79字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,5,6,,5,,pl_deepseek_pro,cmmlu-035,3,AI自动标注 - 响应长度: 144字符,,5,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-036,3,AI自动标注 - 响应长度: 87字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,cmmlu-036,4,AI自动标注 - 响应长度: 77字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,8,7,,5,,pl_deepseek_flash,cmmlu-037,9,AI自动标注 - 响应长度: 204字符,,7,ds_batch,,,3,0,assistant_demo_v1
4,3,6,,5,,pl_deepseek_flash,cmmlu-038,3,AI自动标注 - 响应长度: 32字符,,3,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_pro,cmmlu-038,4,AI自动标注 - 响应长度: 72字符,,4,ds_batch,,,3,0,assistant_demo_v1
5,4,6,,5,,pl_deepseek_flash,cmmlu-039,4,AI自动标注 - 响应长度: 43字符,,4,ds_batch,,,3,0,assistant_demo_v1
